[2025-10-04 23:12:10,958] [watcher] Network available. Starting supervisor.
[2025-10-04 23:12:10,967] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:12:11,432] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:12:11,513] [watcher] Network available. Starting supervisor.
[2025-10-04 23:12:11,520] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:12:11,705] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:12:11,799] [watcher] Network available. Starting supervisor.
[2025-10-04 23:12:11,807] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:12:14,979] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:12:15,071] [watcher] Network available. Starting supervisor.
[2025-10-04 23:12:15,077] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:12:18,546] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:12:18,647] [watcher] Network available. Starting supervisor.
[2025-10-04 23:12:18,654] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:12:21,655] [watcher] Control=PAUSE. Not starting supervisor.
